,Text#,Type,Issued,Title,Language,Authors,Bookshelves,BookId
20,28,Text,1992-03-01,"The Fables of Aesop
Selected, Told Anew, and Their History Traced",en,"Aesop, 620? BCE-564? BCE; Jacobs, Joseph, 1854-1916 [Editor]",Harvard Classics,20
21,31,Text,2006-03-08,Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,en,"Sophocles, 495? BCE-406 BCE; Storr, Francis, 1839-1919 [Translator]",Plays; Best Books Ever Listings; Harvard Classics,21
22,32,Text,2008-06-27,Herland,en,"Gilman, Charlotte Perkins, 1860-1935",Best Books Ever Listings,22
23,33,Text,1992-06-01,The Scarlet Letter,en,"Hawthorne, Nathaniel, 1804-1864",Harvard Classics; Movie Books,23
24,35,Text,2004-10-02,The Time Machine,en,"Wells, H. G. (Herbert George), 1866-1946",Movie Books; Science Fiction,24
25,36,Text,2004-10-01,The War of the Worlds,en,"Wells, H. G. (Herbert George), 1866-1946",Movie Books; Science Fiction,25
26,41,Text,2008-06-27,The Legend of Sleepy Hollow,en,"Irving, Washington, 1783-1859",Children's Literature; Harvard Classics,26
27,42,Text,1992-10-01,The Strange Case of Dr. Jekyll and Mr. Hyde,en,"Stevenson, Robert Louis, 1850-1894",Precursors of Science Fiction; Horror; Gothic Fiction; Movie Books,27
28,43,Text,2008-06-27,The Strange Case of Dr. Jekyll and Mr. Hyde,en,"Stevenson, Robert Louis, 1850-1894",Precursors of Science Fiction; Horror; Movie Books,28
29,44,Text,2008-06-27,The Song of the Lark,en,"Cather, Willa, 1873-1947",Opera,29
30,45,Text,2008-06-27,Anne of Green Gables,en,"Montgomery, L. M. (Lucy Maud), 1874-1942",Children's Literature; Canada,30
31,46,Text,2004-08-11,A Christmas Carol in Prose; Being a Ghost Story of Christmas,en,"Dickens, Charles, 1812-1870; Leech, John, 1817-1864 [Illustrator]",Children's Literature; Christmas,31
32,47,Text,2006-03-08,Anne of Avonlea,en,"Montgomery, L. M. (Lucy Maud), 1874-1942",Children's Literature; Canada,32
33,48,Text,1993-01-01,The 1992 CIA World Factbook,en,United States. Central Intelligence Agency,CIA World Factbooks,33
34,50,Dataset,1993-01-01,Pi,en,"Hemphill, Scott",Mathematics,34
35,51,Text,2006-03-08,Anne of the Island,en,"Montgomery, L. M. (Lucy Maud), 1874-1942",Children's Literature; Canada,35
36,52,Dataset,1993-02-01,The Square Root of 2,en,"Kerr, Stan",Mathematics,36
37,54,Text,1993-02-01,The Marvelous Land of Oz,en,"Baum, L. Frank (Lyman Frank), 1856-1919",Children's Literature; Fantasy,37
38,55,Text,1993-02-01,The Wonderful Wizard of Oz,en,"Baum, L. Frank (Lyman Frank), 1856-1919",Children's Literature; Fantasy,38
39,59,Text,1993-03-01,Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,en,"Descartes, RenÃ©, 1596-1650; Veitch, John, 1829-1894 [Translator]",Harvard Classics; Philosophy,39
40,60,Text,2006-03-08,The Scarlet Pimpernel,en,"Orczy, Emmuska Orczy, Baroness, 1865-1947",Adventure; Best Books Ever Listings; Movie Books,40
41,61,Text,2005-01-25,The Communist Manifesto,en,"Engels, Friedrich, 1820-1895; Marx, Karl, 1818-1883",Politics; Philosophy; Banned Books from Anne Haight's list,41
42,62,Text,1993-04-01,A Princess of Mars,en,"Burroughs, Edgar Rice, 1875-1950",Best Books Ever Listings; Science Fiction,42
43,63,Text,1993-04-01,"The Number ""e""",en,Unknown,Historical Fiction,43
44,64,Text,1993-05-01,The Gods of Mars,en,"Burroughs, Edgar Rice, 1875-1950",Science Fiction,44
45,68,Text,1993-06-01,Warlord of Mars,en,"Burroughs, Edgar Rice, 1875-1950",Science Fiction,45
46,69,Text,1993-06-01,"The 32nd Mersenne Prime
Predicted by Mersenne",en,"Slowinski, David",Mathematics,46
47,72,Text,1993-07-01,"Thuvia, Maid of Mars",en,"Burroughs, Edgar Rice, 1875-1950",Science Fiction,47
48,73,Text,1993-07-01,The Red Badge of Courage: An Episode of the American Civil War,en,"Crane, Stephen, 1871-1900","US Civil War; Historical Fiction; Best Books Ever Listings; Bestsellers, American, 1895-1923",48
49,74,Text,2004-07-01,"The Adventures of Tom Sawyer, Complete",en,"Twain, Mark, 1835-1910",Banned Books from Anne Haight's list; Banned Books List from the American Library Association,49
50,76,Text,2004-06-29,Adventures of Huckleberry Finn,en,"Twain, Mark, 1835-1910; Kemble, E. W. (Edward Windsor), 1861-1933 [Illustrator]",Best Books Ever Listings; Banned Books from Anne Haight's list; Banned Books List from the American Library Association,50
51,77,Text,1993-08-01,The House of the Seven Gables,en,"Hawthorne, Nathaniel, 1804-1864",Best Books Ever Listings,51
52,78,Text,1993-08-01,Tarzan of the Apes,en,"Burroughs, Edgar Rice, 1875-1950",Movie Books; Adventure,52
53,82,Text,2008-06-25,Ivanhoe: A Romance,en,"Scott, Walter, 1771-1832",Best Books Ever Listings; Historical Fiction,53
54,83,Text,1993-09-01,"From the Earth to the Moon; and, Round the Moon",en,"Verne, Jules, 1828-1905",Movie Books; Science Fiction,54
55,84,Text,1993-10-01,"Frankenstein; Or, The Modern Prometheus",en,"Shelley, Mary Wollstonecraft, 1797-1851",Precursors of Science Fiction; Gothic Fiction; Movie Books; Science Fiction by Women,55
56,85,Text,1993-10-01,The Beasts of Tarzan,en,"Burroughs, Edgar Rice, 1875-1950",Movie Books; Adventure,56
57,86,Text,2004-07-07,A Connecticut Yankee in King Arthur's Court,en,"Twain, Mark, 1835-1910",Precursors of Science Fiction; Arthurian Legends,57
58,87,Text,1993-10-01,The 1993 CIA World Factbook,en,United States. Central Intelligence Agency,CIA World Factbooks,58
59,90,Text,1993-11-01,The Son of Tarzan,en,"Burroughs, Edgar Rice, 1875-1950",Adventure; Movie Books; Contemporary Reviews,59
60,92,Text,1993-12-01,Tarzan and the Jewels of Opar,en,"Burroughs, Edgar Rice, 1875-1950",Movie Books; Adventure,60
61,95,Text,2006-01-09,The Prisoner of Zenda,en,"Hope, Anthony, 1863-1933","Adventure; Best Books Ever Listings; Movie Books; Bestsellers, American, 1895-1923",61
62,96,Text,1994-01-01,The Monster Men,en,"Burroughs, Edgar Rice, 1875-1950",Science Fiction,62
63,97,Text,1994-01-01,Flatland: A Romance of Many Dimensions,en,"Abbott, Edwin Abbott, 1838-1926",Science Fiction; Mathematics,63
64,98,Text,1994-01-01,A Tale of Two Cities,en,"Dickens, Charles, 1812-1870",Historical Fiction,64
65,99,Text,1994-01-01,Collected Articles of Frederick Douglass,en,"Douglass, Frederick, 1818-1895",African American Writers; Slavery,65
66,100,Text,1994-01-01,The Complete Works of William Shakespeare,en,"Shakespeare, William, 1564-1616",Plays,66
67,103,Text,1994-01-01,Around the World in Eighty Days,en,"Verne, Jules, 1828-1905",Adventure; Best Books Ever Listings; Movie Books,67
68,106,Text,1994-02-01,Jungle Tales of Tarzan,en,"Burroughs, Edgar Rice, 1875-1950",Movie Books; Adventure,68
69,108,Text,2006-03-08,The Return of Sherlock Holmes,en,"Doyle, Arthur Conan, 1859-1930",Detective Fiction,69
70,110,Text,1994-02-01,Tess of the d'Urbervilles: A Pure Woman,en,"Hardy, Thomas, 1840-1928",Banned Books from Anne Haight's list,70
71,113,Text,1994-03-01,The Secret Garden,en,"Burnett, Frances Hodgson, 1849-1924",Children's Literature,71
72,120,Text,2006-02-26,Treasure Island,en,"Stevenson, Robert Louis, 1850-1894; Rhead, Louis, 1857-1926 [Illustrator]","Children's Literature; Historical Fiction; Best Books Ever Listings; Pirates, Buccaneers, Corsairs, etc.",72
73,121,Text,1994-04-01,Northanger Abbey,en,"Austen, Jane, 1775-1817",Gothic Fiction,73
74,123,Text,1994-04-01,At the Earth's Core,en,"Burroughs, Edgar Rice, 1875-1950",Science Fiction,74
75,124,Text,1994-04-01,"Deuterocanonical Books of the Bible
Apocrypha",en,Anonymous,Christianity,75
76,126,Text,1994-04-01,The Poison Belt,en,"Doyle, Arthur Conan, 1859-1930",Science Fiction,76
77,127,Dataset,1994-04-01,"The Number ""e""",en,"Bonnell, Jerry T.; Nemiroff, Robert J.",Mathematics,77
78,129,Dataset,1994-05-01,The Square Root of 2,en,"Bonnell, Jerry T.; Nemiroff, Robert J.",Mathematics,78
79,130,Text,1994-05-01,Orthodoxy,en,"Chesterton, G. K. (Gilbert Keith), 1874-1936",Christianity,79
80,131,Text,1994-05-01,"The Pilgrim's Progress from this world to that which is to come
Delivered under the similitude of a dream, by John Bunyan",en,"Bunyan, John, 1628-1688",Harvard Classics; Christianity,80
81,133,Text,2006-03-08,The Damnation of Theron Ware,en,"Frederic, Harold, 1856-1898","Bestsellers, American, 1895-1923",81
82,135,Text,2008-06-22,Les MisÃ©rables,en,"Hugo, Victor, 1802-1885; Hapgood, Isabel Florence, 1850-1928 [Translator]",Historical Fiction; Banned Books from Anne Haight's list,82
83,137,Text,2006-03-08,"Sara Crewe; Or, What Happened at Miss Minchin's Boarding School",en,"Burnett, Frances Hodgson, 1849-1924",School Stories,83
84,139,Text,1994-06-01,The Lost World,en,"Doyle, Arthur Conan, 1859-1930",Science Fiction,84
85,140,Text,2006-03-11,The Jungle,en,"Sinclair, Upton, 1878-1968","Contemporary Reviews; Bestsellers, American, 1895-1923; Banned Books from Anne Haight's list; Banned Books List from the American Library Association",85
86,145,Text,1994-07-01,Middlemarch,en,"Eliot, George, 1819-1880",Best Books Ever Listings; Historical Fiction,86
87,146,Text,1994-07-01,"A Little Princess
Being the whole story of Sara Crewe now told for the first time",en,"Burnett, Frances Hodgson, 1849-1924",Children's Literature; School Stories,87
88,148,Text,1994-07-01,The Autobiography of Benjamin Franklin,en,"Franklin, Benjamin, 1706-1790; Eliot, Charles William, 1834-1926 [Editor]",Harvard Classics,88
89,149,Text,1994-07-01,The Lost Continent,en,"Burroughs, Edgar Rice, 1875-1950",Science Fiction,89
90,153,Text,1994-08-01,Jude the Obscure,en,"Hardy, Thomas, 1840-1928",Banned Books from Anne Haight's list,90
91,154,Text,1994-08-01,The Rise of Silas Lapham,en,"Howells, William Dean, 1837-1920",Contemporary Reviews,91
92,155,Text,2006-01-12,The Moonstone,en,"Collins, Wilkie, 1824-1889",Detective Fiction; Mystery Fiction,92
93,157,Text,1994-08-01,Daddy-Long-Legs,en,"Webster, Jean, 1876-1916",School Stories,93
94,159,Text,2004-10-14,The Island of Doctor Moreau,en,"Wells, H. G. (Herbert George), 1866-1946",Science Fiction; Best Books Ever Listings; Movie Books,94
95,160,Text,2006-03-11,"The Awakening, and Selected Short Stories",en,"Chopin, Kate, 1850-1904",Banned Books from Anne Haight's list; Banned Books List from the American Library Association,95
96,163,Text,1994-09-01,Flower Fables,en,"Alcott, Louisa May, 1832-1888",Children's Literature,96
97,164,Text,1994-09-01,Twenty Thousand Leagues under the Sea,en,"Verne, Jules, 1828-1905",Science Fiction,97
98,167,Text,1994-09-01,American Hand Book of the Daguerreotype,en,"Humphrey, S. D. (Samuel Dwight), 1823-1883",Art; Photography,98
99,168,Text,1994-10-01,The History and Practice of the Art of Photography,en,"Snelling, Henry Hunt, 1816-1897",Art; Photography,99
100,169,Text,1994-10-01,The Well at the World's End: A Tale,en,"Morris, William, 1834-1896",Fantasy,100
101,172,Text,1994-10-01,The Haunted Bookshop,en,"Morley, Christopher, 1890-1957",Bibliomania,101
102,173,Text,1994-10-01,The Insidious Dr. Fu Manchu,en,"Rohmer, Sax, 1883-1959",Crime Fiction,102
103,174,Text,1994-10-01,The Picture of Dorian Gray,en,"Wilde, Oscar, 1854-1900",Gothic Fiction; Movie Books,103
104,175,Text,1994-10-01,The Phantom of the Opera,en,"Leroux, Gaston, 1868-1927",Opera; Gothic Fiction; Movie Books,104
105,180,Text,1994-11-01,The 1994 CIA World Factbook,en,United States. Central Intelligence Agency,CIA World Factbooks,105
106,200,Text,1995-01-01,"The Project Gutenberg Encyclopedia, Volume 1 of 28",en,Project Gutenberg,Reference,106
107,201,Text,1995-01-01,Flatland: A Romance of Many Dimensions (Illustrated),en,"Abbott, Edwin Abbott, 1838-1926",Science Fiction; Mathematics,107
108,202,Text,2008-07-02,My Bondage and My Freedom,en,"Douglass, Frederick, 1818-1895",African American Writers; Slavery,108
109,203,Text,2006-01-13,Uncle Tom's Cabin,en,"Stowe, Harriet Beecher, 1811-1896",US Civil War; Slavery; Banned Books from Anne Haight's list,109
110,204,Text,2008-07-09,The Innocence of Father Brown,en,"Chesterton, G. K. (Gilbert Keith), 1874-1936",Detective Fiction,110
111,207,Text,1995-01-01,The Spell of the Yukon and Other Verses,en,"Service, Robert W. (Robert William), 1874-1958",Canada,111
112,209,Text,1995-02-01,The Turn of the Screw,en,"James, Henry, 1843-1916",Opera; Best Books Ever Listings; Horror; Gothic Fiction,112
113,212,Text,1995-02-01,A List of Factorial Math Constants,en,Unknown,Mathematics,113
114,213,Text,1995-02-01,The Man from Snowy River,en,"Paterson, A. B. (Andrew Barton), 1864-1941",Australia,114
115,214,Text,2008-07-03,"In the Days When the World Was Wide, and Other Verses",en,"Lawson, Henry, 1867-1922",Australia,115
116,215,Text,2008-07-02,The Call of the Wild,en,"London, Jack, 1876-1916",Animals-Domestic; Adventure; Best Books Ever Listings; Movie Books; Banned Books from Anne Haight's list; Banned Books List from the American Library Association,116
117,216,Text,1995-02-01,"The Tao Teh King, or the Tao and its Characteristics",en,"Laozi; Legge, James, 1815-1897 [Translator]",Paganism,117
118,217,Text,2006-01-16,Sons and Lovers,en,"Lawrence, D. H. (David Herbert), 1885-1930",Best Books Ever Listings; Banned Books from Anne Haight's list; Banned Books List from the American Library Association,118
119,218,Text,2008-07-03,"C. Iuli Caesaris De Bello Gallico, I-IV",la,"Caesar, Julius, 100 BCE-44 BCE",Classical Antiquity,119
120,219,Text,2006-01-09,Heart of Darkness,en,"Conrad, Joseph, 1857-1924",Best Books Ever Listings; Movie Books,120
121,221,Text,1995-02-01,The Return of Sherlock Holmes,en,"Doyle, Arthur Conan, 1859-1930",Detective Fiction,121
122,222,Text,1995-02-01,The Moon and Sixpence,en,"Maugham, W. Somerset (William Somerset), 1874-1965",Contemporary Reviews,122
123,223,Text,1995-02-01,The Wisdom of Father Brown,en,"Chesterton, G. K. (Gilbert Keith), 1874-1936",Detective Fiction,123
124,225,Text,2008-07-11,At the Back of the North Wind,en,"MacDonald, George, 1824-1905",Children's Literature,124
125,226,Text,1995-03-01,Cicero's Orations,la,"Cicero, Marcus Tullius, 106 BCE-43 BCE",Classical Antiquity,125
126,227,Text,1995-03-01,Aeneidos,la,"Virgil, 70 BCE-19 BCE",Classical Antiquity; Best Books Ever Listings; Harvard Classics,126
127,228,Text,1995-03-01,The Aeneid,en,"Virgil, 70 BCE-19 BCE; Dryden, John, 1631-1700 [Translator]",Classical Antiquity; Best Books Ever Listings; Poetry; Harvard Classics,127
128,229,Text,1995-03-01,The Bucolics and Eclogues,la,"Virgil, 70 BCE-19 BCE",Classical Antiquity,128
129,230,Text,1995-03-01,The Bucolics and Eclogues,en,"Virgil, 70 BCE-19 BCE",Classical Antiquity,129
130,231,Text,1995-03-01,Georgicon,la,"Virgil, 70 BCE-19 BCE",Classical Antiquity,130
131,234,Text,2008-07-02,Child Christopher and Goldilind the Fair,en,"Morris, William, 1834-1896",Fantasy,131
132,236,Text,2006-01-16,The Jungle Book,en,"Kipling, Rudyard, 1865-1936",Scouts; Children's Literature; Movie Books; Contemporary Reviews,132
133,238,Text,2008-07-03,Dear Enemy,en,"Webster, Jean, 1876-1916","Bestsellers, American, 1895-1923",133
134,241,Text,2008-07-02,"Clotelle; Or, The Colored Heroine, a tale of the Southern States; Or, The President's Daughter",en,"Brown, William Wells, 1814?-1884",African American Writers,134
135,244,Text,1995-04-01,A Study in Scarlet,en,"Doyle, Arthur Conan, 1859-1930",Detective Fiction,135
136,261,Text,2008-07-03,A Dome of Many-Coloured Glass,en,"Lowell, Amy, 1874-1925",Poetry,136
137,262,Text,1995-05-01,The Collected Poems of Rupert Brooke,en,"Brooke, Rupert, 1887-1915; Woodberry, George Edward, 1855-1930 [Author of introduction, etc.]; Lavington, Margaret [Contributor]",Poetry,137
138,271,Text,2006-01-16,Black Beauty,en,"Sewell, Anna, 1820-1878",Best Books Ever Listings; Children's Literature,138
139,272,Text,1995-06-01,An Open Letter on Translating,en,"Luther, Martin, 1483-1546; Mann, Gary [Translator]",Christianity,139
140,273,Text,1995-06-01,The Smalcald Articles,en,"Luther, Martin, 1483-1546; Bente, F. (Friedrich), 1858-1930 [Translator]; Dau, W. H. T. (William Herman Theodore), 1864-1944 [Translator]",Christianity,140
141,274,Text,1995-06-01,Disputation of Doctor Martin Luther on the Power and Efficacy of Indulgences,en,"Luther, Martin, 1483-1546",Christianity; Harvard Classics; Banned Books from Anne Haight's list,141
142,277,Text,2008-06-29,Trinity Site,en,National Atomic Museum (U.S.),World War II,142
143,278,Text,2014-09-14,"Trinity Site: 1945-1995.
A National Historic Landmark, White Sands Missile Range, New Mexico",en,White Sands Missile Range (N.M.). Public Affairs Office,World War II,143
144,279,Text,2014-09-14,Photos and Maps of Trinity (Atomic Test) Site,en,White Sands Missile Range (N.M.). Public Affairs Office [Contributor],World War II,144
145,284,Text,1995-06-01,The House of Mirth,en,"Wharton, Edith, 1862-1937","Bestsellers, American, 1895-1923",145
146,285,Text,2008-07-09,The Lost Continent,en,"Hyne, Charles John Cutcliffe Wright, 1866-1944",Science Fiction,146
147,286,Text,1995-06-01,Laddie: A True Blue Story,en,"Stratton-Porter, Gene, 1863-1924","Bestsellers, American, 1895-1923",147
148,288,Text,1995-07-01,The Certain Hour (Dizain des PoÃ«tes),en,"Cabell, James Branch, 1879-1958",Fantasy,148
149,289,Text,1995-07-01,The Wind in the Willows,en,"Grahame, Kenneth, 1859-1932",Best Books Ever Listings; Children's Literature,149
150,293,Text,2006-03-15,Paul Prescott's Charge,en,"Alger, Horatio, Jr., 1832-1899",Children's Fiction,150
151,296,Text,2006-03-15,The Cash Boy,en,"Alger, Horatio, Jr., 1832-1899",Children's Fiction,151
152,298,Text,2008-07-09,The Market-Place,en,"Frederic, Harold, 1856-1898","Bestsellers, American, 1895-1923",152
153,300,Text,1995-07-01,United States Declaration of Independence,en,"Jefferson, Thomas, 1743-1826",Politics,153
154,302,Text,1995-07-01,The Fibonacci Number Series,en,"Husted, Michael",Mathematics,154
155,304,Text,1995-08-01,"Rio Grande's Last Race, and Other Verses",en,"Paterson, A. B. (Andrew Barton), 1864-1941",Australia,155
156,305,Text,2008-07-02,The Count's Millions,en,"Gaboriau, Emile, 1832-1873",Detective Fiction,156
157,307,Text,2008-06-29,"Three Elephant Power, and Other Stories",en,"Paterson, A. B. (Andrew Barton), 1864-1941",Australia,157
158,308,Text,1995-08-01,Three Men in a Boat (To Say Nothing of the Dog),en,"Jerome, Jerome K. (Jerome Klapka), 1859-1927",Best Books Ever Listings; Humor,158
159,315,Text,1995-08-01,Rhymes of a Red Cross Man,en,"Service, Robert W. (Robert William), 1874-1958","Bestsellers, American, 1895-1923",159
160,316,Text,2008-07-05,The Golden Road,en,"Montgomery, L. M. (Lucy Maud), 1874-1942",Children's Literature; Canada,160
161,320,Text,1995-09-01,Vida De Lazarillo De Tormes Y De Sus Fortunas Y Adversidades,es,Anonymous,6 Best Loved Spanish Literary Classics,161
162,322,Text,1995-09-01,St. Ives: Being the Adventures of a French Prisoner in England,en,"Stevenson, Robert Louis, 1850-1894",Historical Fiction,162
163,327,Text,1995-09-01,The Princess Aline,en,"Davis, Richard Harding, 1864-1916","Bestsellers, American, 1895-1923",163
164,332,Text,2008-07-02,The Burial of the Guns,en,"Page, Thomas Nelson, 1853-1922",US Civil War,164
165,336,Text,2008-07-05,Indian Heroes and Great Chieftains,en,"Eastman, Charles A., 1858-1939",Native America,165
166,337,Text,2008-07-05,Indian Boyhood,en,"Eastman, Charles A., 1858-1939",Native America,166
167,338,Text,2008-07-05,Old Indian Legends,en,"Zitkala-Sa, 1876-1938",Native America,167
168,339,Text,2008-07-05,Old Indian Days,en,"Eastman, Charles A., 1858-1939",Native America,168
169,340,Text,2008-07-05,The Soul of the Indian: An Interpretation,en,"Eastman, Charles A., 1858-1939",Native America,169
170,341,Text,1995-10-01,Myths and Legends of the Sioux,en,"McLaughlin, Marie L., 1842-",Folklore; Native America,170
171,342,Text,1995-10-01,Margaret Ogilvy,en,"Barrie, J. M. (James Matthew), 1860-1937","Bestsellers, American, 1895-1923",171
172,345,Text,1995-10-01,Dracula,en,"Stoker, Bram, 1847-1912",Horror; Gothic Fiction; Mystery Fiction; Movie Books,172
173,348,Text,2008-07-05,"Hesiod, the Homeric Hymns, and Homerica",en,"Hesiod; Evelyn-White, Hugh G. (Hugh Gerard), 1884-1924 [Translator]",Classical Antiquity,173
174,349,Text,1995-10-01,The Harvester,en,"Stratton-Porter, Gene, 1863-1924","Bestsellers, American, 1895-1923",174
175,353,Text,2008-07-05,"In Flanders Fields, and Other Poems",en,"McCrae, John, 1872-1918; Macphail, Andrew, 1864-1938 [Contributor]","World War I; Bestsellers, American, 1895-1923",175
176,360,Text,1995-11-01,What is Property? An Inquiry into the Principle of Right and of Government,en,"Proudhon, P.-J. (Pierre-Joseph), 1809-1865",Anarchism,176
177,369,Text,2008-07-11,The Outlaw of Torn,en,"Burroughs, Edgar Rice, 1875-1950",Science Fiction,177
178,375,Text,1995-12-01,An Occurrence at Owl Creek Bridge,en,"Bierce, Ambrose, 1842-1914?",Horror; US Civil War,178
179,382,Text,1995-12-01,Edinburgh: Picturesque Notes,en,"Stevenson, Robert Louis, 1850-1894",United Kingdom,179
180,383,Text,1995-12-01,"She Stoops to Conquer; Or, The Mistakes of a Night: A Comedy",en,"Goldsmith, Oliver, 1730?-1774",Harvard Classics,180
181,384,Text,1996-01-01,The Lost Prince,en,"Burnett, Frances Hodgson, 1849-1924",Children's Literature,181
182,385,Text,1996-01-01,"The Redheaded Outfield, and Other Baseball Stories",en,"Grey, Zane, 1872-1939",Western,182
183,388,Text,2004-10-19,The Crossing,en,"Churchill, Winston, 1871-1947","Bestsellers, American, 1895-1923",183
184,389,Text,1996-01-01,The Great God Pan,en,"Machen, Arthur, 1863-1947",Horror,184
185,392,Text,1996-01-01,Jerusalem Delivered,en,"Tasso, Torquato, 1544-1595; Fairfax, Edward, -1635 [Translator]",Opera; Banned Books from Anne Haight's list,185
186,398,Text,1996-01-01,The First Book of Adam and Eve,en,"Platt, Rutherford Hayes, 1894-1975",Christianity,186
187,399,Text,2006-01-16,Cast Upon the Breakers,en,"Alger, Horatio, Jr., 1832-1899",Children's Fiction,187
188,402,Text,2006-03-15,Penrod,en,"Tarkington, Booth, 1869-1946","Best Books Ever Listings; Bestsellers, American, 1895-1923",188
189,403,Text,1996-01-01,Soldiers of Fortune,en,"Davis, Richard Harding, 1864-1916","Bestsellers, American, 1895-1923",189
190,405,Text,1996-01-01,Adventures and Letters of Richard Harding Davis,en,"Davis, Richard Harding, 1864-1916; Davis, Charles Belmont, 1866-1926 [Editor]","Bestsellers, American, 1895-1923",190
191,408,Text,1996-01-01,The Souls of Black Folk,en,"Du Bois, W. E. B. (William Edward Burghardt), 1868-1963",African American Writers,191
192,409,Text,1996-01-01,"Poems on various subjects, religious and moral",en,"Wheatley, Phillis, 1753-1784",African American Writers,192
193,412,Text,1996-01-01,John Jacob Astor,en,"Hubbard, Elbert, 1856-1915",Biographies,193
194,417,Text,1996-02-01,"Dr. Martin Luther's Deutsche Geistliche Lieder
The Hymns of Martin Luther Set to Their Original Melodies, With an English Version",de; en,"Luther, Martin, 1483-1546; Allen, Nathan H. (Nathan Hale), 1848-1925 [Editor]; Bacon, Leonard Woolsey, 1830-1907 [Editor]",Christianity,194
195,418,Text,1996-02-01,A Treatise on Good Works,en,"Luther, Martin, 1483-1546; Reu, Johann Michael, 1869-1943 [Translator]",Christianity,195
196,419,Text,1996-02-01,The Magic of Oz,en,"Baum, L. Frank (Lyman Frank), 1856-1919",Children's Literature; Fantasy,196
197,420,Text,1996-02-01,Dorothy and the Wizard in Oz,en,"Baum, L. Frank (Lyman Frank), 1856-1919",Children's Literature; Fantasy,197
198,421,Text,2006-01-16,Kidnapped,en,"Stevenson, Robert Louis, 1850-1894",Children's Literature; Adventure; Historical Fiction; Best Books Ever Listings; Movie Books,198
199,434,Text,1996-02-01,The Circular Staircase,en,"Rinehart, Mary Roberts, 1876-1958",Detective Fiction,199
200,436,Text,1996-02-01,"The Master Key
An Electrical Fairy Tale Founded Upon the Mysteries of Electricity",en,"Baum, L. Frank (Lyman Frank), 1856-1919",Children's Literature; Fantasy,200
201,440,Text,1996-02-01,Just David,en,"Porter, Eleanor H. (Eleanor Hodgman), 1868-1920","Bestsellers, American, 1895-1923",201
202,441,Text,1996-02-01,"New Poems, and Variant Readings",en,"Stevenson, Robert Louis, 1850-1894; Osbourne, Lloyd, 1868-1947 [Author of introduction, etc.]",Bibliomania,202
203,443,Text,1996-02-01,The Love Affairs of a Bibliomaniac,en,"Field, Eugene, 1850-1895",Bibliomania,203
